title,main_genre,runtime,vote_average,imdb_id,release_date,year
Sonic Outlaws,Music,87.0,0.0,tt0114500,1995-08-01,1995
Down Periscope,Comedy,92.0,5.6,tt0116130,1996-03-01,1996
From the Journals of Jean Seberg,Documentary,97.0,6.5,tt0113125,1995-09-08,1995
Man of the Year,Comedy,86.0,3.8,tt0113756,1995-09-15,1995
The Neon Bible,Drama,91.0,7.2,tt0113952,1995-08-23,1995
Up Close & Personal,Drama,119.0,5.9,tt0118055,1996-03-01,1996
The Birdcage,Comedy,117.0,6.7,tt0115685,1996-03-08,1996
Virgin Mary,Drama,125.0,7.0,tt0113200,1995-10-12,1995
The Brothers McMullen,Comedy,98.0,6.3,tt0112585,1995-08-09,1995
Bad Boys,Action,118.0,6.5,tt0112442,1995-04-07,1995
The Amazing Panda Adventure,Action,81.0,5.0,tt0112342,1995-08-25,1995
The Basketball Diaries,Drama,102.0,7.2,tt0112461,1995-04-21,1995
An Awfully Big Adventure,Romance,113.0,6.0,tt0112427,1995-07-21,1995
Amateur,Crime,105.0,6.5,tt0109093,1994-08-05,1994
Apollo 13,Drama,140.0,7.3,tt0112384,1995-06-30,1995
Rob Roy,Adventure,139.0,6.5,tt0114287,1995-04-13,1995
The Addiction,Drama,82.0,6.4,tt0112288,1995-01-10,1995
Batman Forever,Action,121.0,5.2,tt0112462,1995-06-16,1995
Belle de Jour,Drama,101.0,7.3,tt0061395,1967-05-24,1967
Beyond Rangoon,Drama,100.0,6.4,tt0112495,1995-05-24,1995
Blue in the Face,Comedy,83.0,6.8,tt0112541,1995-09-15,1995
Canadian Bacon,Action,91.0,5.9,tt0109370,1995-06-08,1995
Casper,Fantasy,100.0,6.0,tt0112642,1995-05-26,1995
Clockers,Mystery,128.0,6.8,tt0112688,1995-09-15,1995
Congo,Action,109.0,5.0,tt0112715,1995-06-09,1995
Crimson Tide,Action,116.0,7.0,tt0112740,1995-05-12,1995
Crumb,Documentary,119.0,7.6,tt0109508,1994-09-10,1994
Desperado,Thriller,104.0,6.8,tt0112851,1995-08-25,1995
Devil in a Blue Dress,Drama,102.0,6.3,tt0112857,1995-09-15,1995
Die Hard: With a Vengeance,Action,128.0,6.9,tt0112864,1995-05-19,1995
The Doom Generation,Action,80.0,5.6,tt0112887,1995-10-27,1995
Feast of July,Drama,116.0,0.0,tt0113044,1995-10-12,1995
First Knight,Action,134.0,5.9,tt0113071,1995-07-07,1995
Free Willy 2 - The Adventure Home,Adventure,95.0,5.5,tt0113114,1995-07-19,1995
Hackers,Action,107.0,6.2,tt0113243,1995-09-14,1995
Jeffrey,Comedy,92.0,6.5,tt0113464,1995-08-18,1995
Johnny Mnemonic,Adventure,97.0,5.5,tt0113481,1995-05-26,1995
Judge Dredd,Science Fiction,96.0,5.4,tt0113492,1995-06-30,1995
Jury Duty,Comedy,88.0,4.0,tt0113500,1995-04-12,1995
Kids,Drama,91.0,6.8,tt0113540,1995-07-28,1995
Living in Oblivion,Drama,89.0,7.2,tt0113677,1995-01-20,1995
Lord of Illusions,Mystery,119.0,5.9,tt0113690,1995-08-25,1995
Love & Human Remains,Comedy,100.0,7.0,tt0107447,1993-05-20,1993
Mad Love,Drama,95.0,5.5,tt0113729,1995-05-26,1995
Mallrats,Romance,94.0,6.8,tt0113749,1995-10-20,1995
Mighty Morphin Power Rangers: The Movie,Action,92.0,5.2,tt0113820,1995-06-30,1995
Moonlight and Valentino,Comedy,100.0,5.6,tt0113851,1995-09-29,1995
Mute Witness,Thriller,95.0,6.4,tt0110604,1995-09-28,1995
Nadja,Horror,93.0,5.9,tt0110620,1994-09-13,1994
The Net,Crime,114.0,5.6,tt0113957,1995-07-28,1995
Nine Months,Comedy,103.0,5.5,tt0113986,1995-07-12,1995
Party Girl,Comedy,94.0,5.8,tt0114095,1995-06-09,1995
The Prophecy,Fantasy,98.0,6.4,tt0114194,1995-09-01,1995
Reckless,Fantasy,91.0,10.0,tt0114241,1995-11-17,1995
Safe,Drama,119.0,7.2,tt0114323,1995-06-23,1995
The Scarlet Letter,Drama,135.0,5.5,tt0114345,1995-10-13,1995
The Show,Documentary,93.0,5.3,tt0114435,1995-08-25,1995
Showgirls,Drama,128.0,4.9,tt0114436,1995-09-22,1995
Smoke,Comedy,112.0,7.2,tt0114478,1995-06-09,1995
Something to Talk About,Comedy,106.0,5.7,tt0114496,1995-08-04,1995
Species,Science Fiction,108.0,5.5,tt0114508,1995-07-07,1995
The Stars Fell on Henrietta,Drama,109.0,6.6,tt0114534,1995-09-15,1995
Strange Days,Crime,145.0,6.8,tt0114558,1995-10-13,1995
The Umbrellas of Cherbourg,Drama,91.0,7.6,tt0058450,1964-02-19,1964
The Tie That Binds,Thriller,99.0,4.6,tt0114666,1995-09-08,1995
Three Wishes,Drama,115.0,6.1,tt0114663,1995-10-27,1995
Total Eclipse,Drama,111.0,6.5,tt0114702,1995-11-02,1995
"To Wong Foo, Thanks for Everything! Julie Newmar",Comedy,105.0,6.3,tt0114682,1995-09-07,1995
Under Siege 2: Dark Territory,Action,100.0,5.6,tt0114781,1995-07-13,1995
Unstrung Heroes,Comedy,93.0,6.4,tt0114798,1995-09-15,1995
Unzipped,Documentary,73.0,6.0,tt0114805,1995-08-11,1995
A Walk in the Clouds,Drama,103.0,6.5,tt0114887,1995-08-11,1995
Waterworld,Adventure,135.0,5.9,tt0114898,1995-07-28,1995
White Man's Burden,Drama,89.0,5.1,tt0114928,1995-12-01,1995
Wild Bill,Action,98.0,5.9,tt0114938,1995-12-01,1995
The Browning Version,Drama,97.0,6.0,tt0109340,1994-10-12,1994
Bushwhacked,Adventure,90.0,4.9,tt0112602,1995-08-04,1995
Burnt by the Sun,Drama,135.0,6.7,tt0111579,1994-05-01,1994
Before the Rain,Drama,113.0,7.7,tt0110882,1994-06-09,1994
Before Sunrise,Drama,105.0,7.7,tt0112471,1995-01-27,1995
Billy Madison,Comedy,89.0,6.2,tt0112508,1995-02-10,1995
The Babysitter,Drama,90.0,4.7,tt0112438,1995-10-17,1995
Boys on the Side,Comedy,115.0,6.3,tt0112571,1995-02-03,1995
The Cure,Drama,97.0,7.2,tt0112757,1995-04-21,1995
Castle Freak,Thriller,95.0,5.8,tt0112643,1995-08-04,1995
Circle of Friends,Drama,103.0,6.5,tt0112679,1995-03-16,1995
Clerks,Comedy,92.0,7.4,tt0109445,1994-09-13,1994
Don Juan DeMarco,Romance,97.0,6.3,tt0112883,1994-10-01,1994
Disclosure,Drama,123.0,5.9,tt0109635,1994-12-09,1994
Dream Man,Thriller,0.0,2.5,tt0112899,1995-01-01,1995
Drop Zone,Action,101.0,5.1,tt0109676,1994-12-08,1994
Destiny Turns on the Radio,Crime,0.0,5.3,tt0112854,1995-04-28,1995
Death and the Maiden,Drama,103.0,7.1,tt0109579,1994-05-04,1994
Dolores Claiborne,Crime,132.0,7.1,tt0109642,1995-03-24,1995
Dumb and Dumber,Comedy,107.0,6.5,tt0109686,1994-12-16,1994
Eat Drink Man Woman,Comedy,123.0,7.5,tt0111797,1994-08-03,1994
Exotica,Drama,103.0,6.5,tt0109759,1994-09-24,1994
Exit to Eden,Thriller,113.0,4.3,tt0109758,1994-10-14,1994
Ed Wood,Comedy,127.0,7.3,tt0109707,1994-09-27,1994
French Kiss,Comedy,111.0,6.2,tt0113117,1995-05-05,1995
Forget Paris,Comedy,101.0,6.1,tt0113097,1995-05-19,1995
Far from Home: The Adventures of Yellow Dog,Action,87.0,5.6,tt0113028,1995-01-13,1995
A Goofy Movie,Romance,78.0,6.7,tt0113198,1995-04-07,1995
Hideaway,Drama,103.0,5.0,tt0113303,1995-03-03,1995
Fluke,Drama,96.0,6.6,tt0113089,1995-06-02,1995
Farinelli,History,111.0,5.9,tt0109771,1994-12-07,1994
Gordy,Drama,90.0,3.0,tt0113199,1995-05-12,1995
Gumby: The Movie,Fantasy,77.0,5.0,tt0113234,1995-12-01,1995
The Glass Shield,Drama,109.0,5.4,tt0109906,1994-09-16,1994
Hoop Dreams,Documentary,171.0,7.7,tt0110057,1994-09-12,1994
Heavenly Creatures,Drama,99.0,6.9,tt0110005,1994-09-02,1994
Houseguest,Comedy,113.0,6.0,tt0110066,1995-01-06,1995
Immortal Beloved,Drama,121.0,6.9,tt0110116,1994-12-16,1994
Heavyweights,Comedy,100.0,6.0,tt0110006,1995-02-17,1995
The Hunted,Action,106.0,6.0,tt0113360,1995-02-24,1995
I.Q.,Comedy,100.0,5.9,tt0110099,1994-12-24,1994
Interview with the Vampire,Horror,123.0,7.2,tt0110148,1994-11-11,1994
Jefferson in Paris,Drama,139.0,5.2,tt0113463,1995-03-31,1995
The Jerky Boys,Comedy,82.0,4.8,tt0110189,1995-02-03,1995
Junior,Comedy,109.0,4.7,tt0110216,1994-11-22,1994
Just Cause,Action,102.0,6.0,tt0113501,1995-02-17,1995
A Kid in King Arthur's Court,Adventure,89.0,4.3,tt0113538,1995-08-11,1995
Kiss of Death,Action,101.0,5.7,tt0113552,1995-04-21,1995
Star Wars,Adventure,121.0,8.1,tt0076759,1977-05-25,1977
Little Women,Drama,115.0,7.0,tt0110367,1994-12-21,1994
A Little Princess,Drama,97.0,7.4,tt0113670,1995-05-10,1995
Ladybird Ladybird,Drama,101.0,7.4,tt0110296,1994-02-18,1994
L'Enfer,Crime,100.0,6.6,tt0109731,1994-02-16,1994
Like Water for Chocolate,Drama,105.0,6.6,tt0103994,1992-04-16,1992
Legends of the Fall,Adventure,133.0,7.2,tt0110322,1994-12-16,1994
Major Payne,Adventure,95.0,6.1,tt0110443,1995-03-24,1995
Little Odessa,Action,98.0,6.4,tt0110365,1994-10-27,1994
Mi Vida Loca,Crime,92.0,5.7,tt0107566,1994-06-08,1994
Love Affair,Drama,108.0,4.3,tt0110391,1994-10-21,1994
Losing Isaiah,Drama,106.0,6.4,tt0113691,1995-03-17,1995
The Madness of King George,Comedy,107.0,6.7,tt0110428,1994-12-28,1994
Mary Shelley's Frankenstein,Drama,123.0,6.1,tt0109836,1994-11-04,1994
Man of the House,Action,96.0,5.1,tt0113755,1995-03-03,1995
Mixed Nuts,Comedy,97.0,5.2,tt0110538,1994-12-21,1994
Milk Money,Comedy,108.0,5.6,tt0110516,1994-08-31,1994
Miracle on 34th Street,Fantasy,114.0,6.4,tt0110527,1994-11-18,1994
Miami Rhapsody,Comedy,95.0,5.6,tt0113808,1995-01-27,1995
My Family,Comedy,128.0,7.0,tt0113896,1995-05-03,1995
Murder in the First,Crime,122.0,6.9,tt0113870,1995-01-20,1995
Nobody's Fool,Drama,110.0,7.0,tt0110684,1994-12-23,1994
Nell,Drama,112.0,6.1,tt0110638,1994-12-23,1994
New Jersey Drive,Crime,98.0,6.9,tt0113967,1995-04-19,1995
New York Cop,Action,93.0,0.0,tt0117169,1993-08-14,1993
Beyond Bedlam,Horror,89.0,4.0,tt0106402,1994-04-22,1994
Nemesis 2 - Nebula,Science Fiction,83.0,4.6,tt0113948,1995-09-26,1995
Nina Takes a Lover,Drama,100.0,7.4,tt0110671,1995-03-03,1995
Natural Born Killers,Crime,119.0,6.9,tt0110632,1994-08-25,1994
Only You,Comedy,115.0,6.4,tt0110737,1994-09-17,1994
Once Were Warriors,Drama,99.0,7.6,tt0110729,1994-09-02,1994
Poison Ivy II: Lily,Drama,106.0,4.6,tt0114151,1996-01-16,1996
Outbreak,Action,127.0,6.4,tt0114069,1995-03-10,1995
Leon: The Professional,Thriller,110.0,8.2,tt0110413,1994-09-14,1994
The Perez Family,Comedy,113.0,6.6,tt0114113,1995-05-12,1995
A Pyromaniac's Love Story,Comedy,94.0,7.0,tt0114210,1995-04-28,1995
Pulp Fiction,Thriller,154.0,8.3,tt0110912,1994-09-10,1994
Panther,Drama,124.0,6.4,tt0114084,1995-11-10,1995
Pushing Hands,Comedy,105.0,6.1,tt0105652,1992-02-01,1992
Priest,Drama,98.0,6.4,tt0110889,1994-01-01,1994
Quiz Show,History,133.0,7.1,tt0110932,1994-09-16,1994
Picture Bride,Drama,94.0,7.4,tt0114129,1995-05-05,1995
Queen Margot,Drama,162.0,7.0,tt0110963,1994-05-13,1994
The Quick and the Dead,Action,107.0,6.2,tt0114214,1995-02-09,1995
Roommates,Drama,108.0,6.4,tt0114296,1995-03-01,1995
Prêt-à-Porter,Drama,133.0,5.3,tt0110907,1994-12-23,1994
Three Colors: Red,Drama,99.0,7.8,tt0111495,1994-05-27,1994
Three Colors: Blue,Drama,98.0,7.7,tt0108394,1993-01-10,1993
Three Colors: White,Comedy,91.0,7.3,tt0111507,1994-01-26,1994
"Red Firecracker, Green Firecracker",Drama,111.0,7.0,tt0110769,1994-10-14,1994
Rent-a-Kid,Comedy,85.0,5.1,tt0114268,1995-01-01,1995
Relative Fear,Horror,90.0,4.7,tt0110965,1995-10-03,1995
Stuart Saves His Family,Comedy,95.0,5.0,tt0114571,1995-04-12,1995
The Swan Princess,Animation,89.0,6.5,tt0111333,1994-11-18,1994
The Secret of Roan Inish,Drama,97.0,6.1,tt0111112,1994-01-01,1994
The Specialist,Action,110.0,5.5,tt0111255,1994-10-07,1994
Stargate,Action,121.0,6.8,tt0111282,1994-10-27,1994
The Santa Clause,Fantasy,97.0,6.3,tt0111070,1994-11-10,1994
The Shawshank Redemption,Drama,142.0,8.5,tt0111161,1994-09-23,1994
Shallow Grave,Crime,92.0,7.0,tt0111149,1994-12-22,1994
Suture,Drama,96.0,6.0,tt0108260,1993-09-14,1993
Strawberry and Chocolate,Comedy,108.0,7.1,tt0106966,1993-01-01,1993
Swimming with Sharks,Crime,101.0,6.7,tt0114594,1994-09-10,1994
The Sum of Us,Comedy,100.0,6.0,tt0111309,1994-07-12,1994
Senior Trip,Comedy,91.0,5.7,tt0113936,1995-09-08,1995
To Live,Drama,125.0,7.7,tt0110081,1994-06-30,1994
Tank Girl,Action,98.0,5.5,tt0114614,1995-03-31,1995
Tales from the Crypt: Demon Knight,Horror,92.0,6.7,tt0114608,1995-01-13,1995
Star Trek: Generations,Science Fiction,118.0,6.4,tt0111280,1994-11-17,1994
Tales from the Hood,Crime,98.0,5.4,tt0114609,1995-05-24,1995
Tom & Viv,Drama,115.0,5.8,tt0111454,1994-04-15,1994
Village of the Damned,Thriller,99.0,5.6,tt0114852,1995-04-28,1995
Tommy Boy,Comedy,97.0,6.8,tt0114694,1995-03-31,1995
Vanya on 42nd Street,Drama,119.0,6.1,tt0111590,1994-09-13,1994
The Underneath,Thriller,99.0,5.6,tt0114788,1995-04-28,1995
The Walking Dead,Drama,88.0,6.6,tt0114888,1995-02-24,1995
What's Eating Gilbert Grape,Romance,118.0,7.5,tt0108550,1993-12-17,1993
Virtuosity,Action,106.0,5.4,tt0114857,1995-08-04,1995
While You Were Sleeping,Comedy,103.0,6.5,tt0114924,1995-04-21,1995
The War,Drama,126.0,6.3,tt0111667,1994-11-04,1994
Double Happiness,Comedy,87.0,5.5,tt0109655,1994-09-07,1994
Muriel's Wedding,Drama,106.0,6.9,tt0110598,1994-09-29,1994
The Baby-Sitters Club,Comedy,94.0,5.3,tt0112435,1995-08-18,1995
Ace Ventura: Pet Detective,Comedy,86.0,6.4,tt0109040,1994-02-04,1994
"The Adventures of Priscilla, Queen of the Desert",Drama,104.0,7.2,tt0109045,1994-05-31,1994
Backbeat,Drama,100.0,6.2,tt0106339,1994-04-01,1994
Bitter Moon,Thriller,139.0,7.0,tt0104779,1992-09-02,1992
Bullets Over Broadway,Action,98.0,7.0,tt0109348,1994-10-14,1994
Clear and Present Danger,Action,141.0,6.4,tt0109444,1994-08-03,1994
The Client,Drama,119.0,6.4,tt0109446,1994-07-20,1994
"Corrina, Corrina",Comedy,115.0,6.4,tt0109484,1994-08-12,1994
Crooklyn,Comedy,115.0,6.7,tt0109504,1994-05-13,1994
The Crow,Fantasy,102.0,7.3,tt0109506,1994-05-11,1994
Cobb,Drama,128.0,6.1,tt0109450,1994-12-02,1994
The Flintstones,Fantasy,91.0,5.0,tt0109813,1994-05-26,1994
Forrest Gump,Comedy,142.0,8.2,tt0109830,1994-07-06,1994
Four Weddings and a Funeral,Comedy,117.0,6.6,tt0109831,1994-03-09,1994
Higher Learning,Romance,127.0,6.4,tt0113305,1995-01-11,1995
I Like It Like That,Comedy,104.0,6.3,tt0110091,1994-10-14,1994
I Love Trouble,Action,123.0,5.3,tt0110093,1994-06-29,1994
It Could Happen to You,Comedy,101.0,6.1,tt0110167,1994-07-29,1994
The Jungle Book,Adventure,111.0,5.9,tt0110213,1994-12-23,1994
"The Wonderful, Horrible Life of Leni Riefenstahl",Documentary,180.0,7.3,tt0107472,1993-09-11,1993
The Lion King,Family,89.0,8.0,tt0110357,1994-06-23,1994
Little Buddha,Drama,140.0,6.0,tt0107426,1993-12-01,1993
New Nightmare,Horror,112.0,6.4,tt0111686,1994-10-13,1994
The Mask,Romance,101.0,6.6,tt0110475,1994-07-29,1994
Maverick,Action,127.0,6.6,tt0110478,1994-05-20,1994
Mrs. Parker and the Vicious Circle,Drama,125.0,6.3,tt0110588,1994-09-07,1994
The Naked Gun 33⅓: The Final Insult,Comedy,83.0,6.4,tt0110622,1994-03-18,1994
The Paper,Comedy,112.0,6.1,tt0110771,1994-03-18,1994
Reality Bites,Drama,99.0,6.5,tt0110950,1994-02-18,1994
Red Rock West,Crime,98.0,6.4,tt0105226,1993-07-08,1993
Ri¢hie Ri¢h,Comedy,95.0,5.4,tt0110989,1994-12-19,1994
Safe Passage,Drama,98.0,4.9,tt0111054,1994-12-01,1994
The River Wild,Action,111.0,6.1,tt0110997,1994-09-30,1994
Speed,Action,116.0,6.8,tt0111257,1994-06-09,1994
Speechless,Comedy,99.0,5.5,tt0111256,1994-12-16,1994
Timecop,Thriller,99.0,5.5,tt0111438,1994-09-15,1994
True Lies,Action,141.0,6.8,tt0111503,1994-07-14,1994
When a Man Loves a Woman,Drama,126.0,6.0,tt0111693,1994-04-29,1994
Wolf,Fantasy,125.0,6.0,tt0111742,1994-06-17,1994
Wyatt Earp,Drama,191.0,6.5,tt0111756,1994-06-24,1994
Bad Company,Action,108.0,4.9,tt0112443,1995-01-20,1995
A Man of No Importance,Comedy,99.0,6.5,tt0110455,1994-12-22,1994
S.F.W.,Comedy,96.0,6.1,tt0111048,1994-09-15,1994
A Low Down Dirty Shame,Action,100.0,6.0,tt0110399,1994-11-23,1994
